"Marca temporal","¿Cuál es tu estatura? (centimetros)","¿Cuál es tu peso aproximado? (en kilogramos)","¿Qué nota final crees que obtendrás en el examen?","¿Cuál es tu color favorito?"
"2021/11/25 12:07:44 p. m. GMT-3","180","81","6.5","Azul"
"2021/11/25 12:08:08 p. m. GMT-3","182","92","4.5","Rojo"
"2021/11/25 12:08:19 p. m. GMT-3","179","90","7","Azul"
"2021/11/25 12:08:27 p. m. GMT-3","173","88","5.5","Azul"
"2021/11/25 12:08:36 p. m. GMT-3","177","80","6.5","Azul"
"2021/11/25 12:08:37 p. m. GMT-3","172","58","6.5","Azul"
"2021/11/25 12:08:43 p. m. GMT-3","174","72","6.5","Azul"
"2021/11/25 12:08:43 p. m. GMT-3","173","91","7","Azul"
"2021/11/25 12:08:44 p. m. GMT-3","185","100","6.5","Azul"
"2021/11/25 12:08:46 p. m. GMT-3","181","65","6.5","Azul"
"2021/11/25 12:08:51 p. m. GMT-3","168","72","6.9","Azul"
"2021/11/25 12:08:54 p. m. GMT-3","176","75","6","Azul"
"2021/11/25 12:09:09 p. m. GMT-3","173","60","6.5","Azul"
"2021/11/25 12:09:22 p. m. GMT-3","179","72","7","Azul"
"2021/11/25 12:09:23 p. m. GMT-3","158","55","6","Rojo"
"2021/11/25 12:10:06 p. m. GMT-3","160","60","4.7","Rojo"
"2021/11/25 12:10:11 p. m. GMT-3","154","57","6.5","Azul"
"2021/11/25 12:10:12 p. m. GMT-3","160","50","2","Rojo"
"2021/11/25 12:10:19 p. m. GMT-3","167","67","5.7","Rojo"
"2021/11/25 12:10:26 p. m. GMT-3","181","76","3.9","Azul"
"2021/11/25 12:10:26 p. m. GMT-3","162","52","2.7","Rojo"
"2021/11/25 12:10:28 p. m. GMT-3","165","80","5","Rojo"
"2021/11/25 12:10:31 p. m. GMT-3","171","63","4","Rojo"
"2021/11/25 12:10:34 p. m. GMT-3","160","50","1","Azul"
"2021/11/25 12:10:34 p. m. GMT-3","173","71","5","Azul"
"2021/11/25 12:10:35 p. m. GMT-3","187","110","6.9","Rojo"
"2021/11/25 12:10:56 p. m. GMT-3","172","65","1.5","Azul"
"2021/11/25 12:11:01 p. m. GMT-3","170","64","6","Rojo"
"2021/11/25 12:11:07 p. m. GMT-3","160","57","2","Azul"
"2021/11/25 12:11:09 p. m. GMT-3","169","74","2","Rojo"
"2021/11/25 12:11:28 p. m. GMT-3","174","60","7","Rojo"